"","studentDist","studentTime","leader","ClustAlg","Catchment"
"6847",2054,41.55,TRUE,"kNN",58
"6848",1499,28.9,FALSE,"kNN",58
"6849",630,13.27,FALSE,"kNN",58
"6850",323,6.65,FALSE,"kNN",58
"6851",1366,28.17,TRUE,"kNN",58
"6852",1113,22.22,FALSE,"kNN",58
"6853",685,12.53,FALSE,"kNN",58
"6854",409,7.1,FALSE,"kNN",58
"6855",194,3.48,FALSE,"kNN",58
"6856",2039,41.35,TRUE,"kNN",58
"6857",1922,38.48,FALSE,"kNN",58
"6858",1608,31.07,FALSE,"kNN",58
"6859",1606,31.02,FALSE,"kNN",58
"6860",1455,27.68,FALSE,"kNN",58
"6861",195,4.33,FALSE,"kNN",58
"6862",810,18.32,TRUE,"kNN",58
"6863",749,17.02,FALSE,"kNN",58
"6864",527,11.83,FALSE,"kNN",58
"6865",442,9.65,FALSE,"kNN",58
"6866",789,17.7,TRUE,"kNN",58
"6867",717,16.28,FALSE,"kNN",58
"6868",588,13.53,FALSE,"kNN",58
"6869",527,11.95,TRUE,"kNN",58
"6870",450,10.25,FALSE,"kNN",58
"6871",911,20.28,TRUE,"kMeans",58
"6872",781,17.57,FALSE,"kMeans",58
"6873",717,16.12,FALSE,"kMeans",58
"6874",534,12.08,FALSE,"kMeans",58
"6875",441,9.88,FALSE,"kMeans",58
"6876",1089,22.07,TRUE,"kMeans",58
"6877",466,9.37,FALSE,"kMeans",58
"6878",189,4.22,FALSE,"kMeans",58
"6879",1127,23.13,TRUE,"kMeans",58
"6880",1083,22.25,FALSE,"kMeans",58
"6881",930,18.63,FALSE,"kMeans",58
"6882",652,12.72,FALSE,"kMeans",58
"6883",323,6.65,FALSE,"kMeans",58
"6884",2087,44.02,TRUE,"kMeans",58
"6885",1182,22.87,FALSE,"kMeans",58
"6886",2646,55.18,TRUE,"kMeans",58
"6887",1612,30.95,FALSE,"kMeans",58
"6888",1610,30.9,FALSE,"kMeans",58
"6889",1459,27.57,FALSE,"kMeans",58
"6890",684,12.55,FALSE,"kMeans",58
"6891",1176,25.48,TRUE,"kMeans",58
"6892",1104,24.07,FALSE,"kMeans",58
"6893",910,19.85,FALSE,"kMeans",58
"6894",848,18.38,FALSE,"kMeans",58
"6895",546,11.72,FALSE,"kMeans",58
"6896",442,9.65,FALSE,"kMeans",58
"6897",331,7.47,FALSE,"kMeans",58
"6898",595,13.42,TRUE,"kMeans",58
"6899",560,12.68,FALSE,"kMeans",58
"6900",450,10.25,FALSE,"kMeans",58
"6901",2425,49.33,TRUE,"Hier",58
"6902",1612,30.95,FALSE,"Hier",58
"6903",1610,30.9,FALSE,"Hier",58
"6904",1459,27.57,FALSE,"Hier",58
"6905",684,12.55,FALSE,"Hier",58
"6906",1079,22.1,TRUE,"Hier",58
"6907",672,13.98,FALSE,"Hier",58
"6908",467,9.37,FALSE,"Hier",58
"6909",195,4.33,FALSE,"Hier",58
"6910",1780,37.52,TRUE,"Hier",58
"6911",1066,23.1,FALSE,"Hier",58
"6912",954,20.9,FALSE,"Hier",58
"6913",744,16.87,FALSE,"Hier",58
"6914",674,15.42,FALSE,"Hier",58
"6915",570,12.87,FALSE,"Hier",58
"6916",450,10.25,FALSE,"Hier",58
"6917",2087,44.02,TRUE,"Hier",58
"6918",1182,22.87,FALSE,"Hier",58
"6919",957,21.4,TRUE,"Hier",58
"6920",792,17.52,FALSE,"Hier",58
"6921",707,15.33,FALSE,"Hier",58
"6922",630,13.27,FALSE,"Hier",58
"6923",323,6.65,FALSE,"Hier",58
"6924",1536,32.53,TRUE,"Hier",58
"6925",689,13.02,FALSE,"Hier",58
"6926",408,7.1,FALSE,"Hier",58
"6927",1383,31.23,TRUE,"Hier",58
"6928",717,16.27,FALSE,"Hier",58
"6929",588,13.52,FALSE,"Hier",58
"6930",523,12.05,FALSE,"Hier",58
"6931",911,20.28,TRUE,"Fuzzy",58
"6932",781,17.57,FALSE,"Fuzzy",58
"6933",717,16.12,FALSE,"Fuzzy",58
"6934",534,12.08,FALSE,"Fuzzy",58
"6935",441,9.88,FALSE,"Fuzzy",58
"6936",1737,35.52,TRUE,"Fuzzy",58
"6937",1182,22.87,FALSE,"Fuzzy",58
"6938",1249,26,TRUE,"Fuzzy",58
"6939",996,20.05,FALSE,"Fuzzy",58
"6940",715,14.13,FALSE,"Fuzzy",58
"6941",500,10.52,FALSE,"Fuzzy",58
"6942",295,5.9,FALSE,"Fuzzy",58
"6943",2043,41.23,TRUE,"Fuzzy",58
"6944",1612,30.95,FALSE,"Fuzzy",58
"6945",1610,30.9,FALSE,"Fuzzy",58
"6946",1459,27.57,FALSE,"Fuzzy",58
"6947",684,12.55,FALSE,"Fuzzy",58
"6948",957,21.4,TRUE,"Fuzzy",58
"6949",792,17.52,FALSE,"Fuzzy",58
"6950",707,15.33,FALSE,"Fuzzy",58
"6951",630,13.27,FALSE,"Fuzzy",58
"6952",323,6.65,FALSE,"Fuzzy",58
"6953",789,17.68,TRUE,"Fuzzy",58
"6954",717,16.27,FALSE,"Fuzzy",58
"6955",588,13.52,FALSE,"Fuzzy",58
"6956",523,12.05,FALSE,"Fuzzy",58
"6957",733,16.47,TRUE,"Fuzzy",58
